Emp_ID,Emp_Age,Emp_Gender,Education_Level,Education_Field,Dist_from_home,Company_name,Location_HQ,Industry,Country,Emp_Job_Role,Emp_Job_Level,Emp_Job_Satisfaction,Emp_Salary,Emp_Salary_Hike_Per,Emp_Performance_Rating,OverTime,No_Companies_Worked,Emp_Experience,Years_At_Company,Years_In_Current_Role,Years_Since_Last_Promotion,Years_With_Curr_Manager,Work_Life_Balance,Business_Travel,Laid_Off_Count,Laid_Off_Percentage,Laid_Off_Date,Laid_off_Month_Year
1,41,Female,2,Life Sciences,1,Splunk,SF Bay Area,Data,United States,Sales Executive,2,4,5993,11,3,Yes,8,8,6,4,0,5,1,Travel_Rarely,325,4%,02-01-2023,Feb-23
2,49,Male,1,Life Sciences,8,DraftKings,Boston,Consumer,United States,Research Scientist,2,2,5130,23,4,No,1,10,10,7,1,7,3,Travel_Frequently,140,4%,02-01-2023,Feb-23
4,37,Male,2,Other,2,Wheel,Austin,Healthcare,United States,Laboratory Technician,1,3,2090,15,3,Yes,6,7,0,0,0,0,3,Travel_Rarely,56,28%,02-01-2023,Feb-23
5,33,Female,4,Life Sciences,3,Chainalysis,New York City,Crypto,United States,Research Scientist,1,3,2909,11,3,Yes,1,8,8,7,3,0,3,Travel_Frequently,44,5%,02-01-2023,Feb-23
7,27,Male,1,Medical,2,Exterro,Portland,Legal,United States,Laboratory Technician,1,2,3468,12,3,No,9,6,2,2,2,2,3,Travel_Rarely,24,3%,02-01-2023,Feb-23
6,34,Female,3,,,,,,,,,,,,,,,,,,,,,,,,,
8,32,Male,2,Life Sciences,2,PayPal,SF Bay Area,Finance,United States,Laboratory Technician,1,4,3068,13,3,No,0,8,7,7,3,6,2,Travel_Frequently,2000,7%,1/31/23,Jan-23
10,59,Female,3,Medical,3,NetApp,SF Bay Area,Data,United States,Laboratory Technician,1,1,2670,20,4,Yes,4,12,1,0,0,0,2,Travel_Rarely,960,8%,1/31/23,Jan-23
11,30,Male,1,Life Sciences,24,Workday,SF Bay Area,HR,United States,Laboratory Technician,1,3,2693,22,4,No,1,1,1,0,0,0,3,Travel_Rarely,525,3%,1/31/23,Jan-23
12,38,Male,3,Life Sciences,23,HubSpot,Boston,Marketing,United States,Manufacturing Director,3,3,9526,21,4,No,0,10,9,7,1,8,3,Travel_Frequently,500,7%,1/31/23,Jan-23
13,36,Male,3,Medical,27,Upstart,SF Bay Area,Finance,United States,Healthcare Representative,2,3,5237,13,3,No,6,17,7,7,7,7,2,Travel_Rarely,365,20%,1/31/23,Jan-23
14,35,Male,3,Medical,16,Wish,SF Bay Area,Retail,United States,Laboratory Technician,1,2,2426,13,3,No,0,6,5,4,0,3,3,Travel_Rarely,150,17%,1/31/23,Jan-23
15,29,Female,2,Life Sciences,15,Tilting Point,New York City,Consumer,United States,Laboratory Technician,2,3,4193,12,3,Yes,0,10,9,5,0,8,3,Travel_Rarely,60,14%,1/31/23,Jan-23
16,31,Male,1,Life Sciences,26,Philips,Amsterdam,Healthcare,Netherlands,Research Scientist,1,3,2911,17,3,No,1,5,5,2,4,3,2,Travel_Rarely,6000,13%,1/30/23,Jan-23
